GLI,Gary Lineker,Football player,039kn,false
MLE,Martin Lewis,Journalist,0fm09c,false
PPU,Phillip Pulman,Author,098sx,false
JRE,Jacob Rees-Mogg,Member of Parliament,0gd_l6,false
SFR,Stephen Fry,Comedian,0h0yt,false
RBA,Russell Brand,Comedian,06crng,false
AIA,Armando Iannucci,Satirist,01wd3l,false
JCL,Jeremy Clarkson,Broadcaster,01nbq4,false
BCO,Brian Cox,Physicist,121d1858,false
BGE,Bobby George,TV Presenter,,false
TEM,Tracey Emin,Artist,015sxw,false
BJO,Boris Johnson,Member of Parliament,0h508,false
DHA,Daniel Hannan,Member of European Parliament,035vb0,false
JRO,J K Rowling,British novelist,042xh,false
RBR,Richard Branson,Business magnate,0n839,false
INE,Isaac Newton,Mathematician,03s9v,false
JCE,John Cleese,Actor,041c4,false
VPA,Vicky Pattison,TV Personality,0j_5328,false
NFA,Nigel Farage,Member of European Parliament,025qb6,false
DRA,Dominic Raab,Member of Parliament,0bwlxtv,false
EPA,Elaine Paige,Singer,025dnm,false
CBA,Cheryl Baker,TV Presenter,01whr0t,false
JBA,John Barnes,Football player,02vmvk,false
BBR,Billy Bragg,Singer-songwriter,014cw2,false
POB,Pascal Obispo,French singer-songwriter,01pvf84,true
DDA,David Davis,Member of Parliament,01zg17,false
BPI,Billie Piper,Actor,025mp5,false
LHU,Liz Hurley,Actor,01pnn3,false
DWE,Dominic West,Actor,0686zv,false
DBA,Duncan Bannatyne,Entrepreneur,0bw7qg,false
PFA,Paloma Faith,Singer-songwriter,0660hs9,false
ACA,Alistair Campbell,Politician,,false
JPO,Jonathan Powell,Diplomat,0c8q96,false
LFO,Liam Fox,Secretary of State for International Trade,01_13f,false
IEL,Idris Elba,Actor,04v7kt,false
FWE,Florence Welch,Musician,0hgrr7c,false
OAL,Olly Alexander,Musician,0g54904,false
JRD,John Redwood,Member of Parliament,015rxq,false
VBE,Victoria Beckham,Businesswoman,0cgfb,false
EJO,Elton John,Singer,01vrz41,false
KCH,Keith Chegwin,TV Presenter,Keith Chegwin,false
IMC,Ian McKellan,Actor,03ym1,false
TPA,Theo Paphitis,Businessman,0br06k,false
PST,Patrick Stewart,Actor,0jbp0,false
ACH,Alexa Chung,Writer,0cjqjn,false
KHO,Katie Hopkins,Media Personality,02r9469,false
MGO,Michael Gove,Secretary of State for Environment,04ps6c,false
HST,Harry Styles,Singer-songwriter,0h3cm8d,false
SCO,Simon Cowell,A&R executive,01pfkw,false
XXX,,,,false
DCA,Douglas Carswell,Member of Parliament,062r5f,false
JDY,James Dyson,Inventor,0209vm,false
JCI,Joan Collins,Actor,0dx_q,false
RFE,Rio Ferdinand,Football player,018f19,false
MCA,Michael Caine,Actor,0gnbw,false
RFR,Rebecca Front,Actor,024m70,false
DKA,Daniel Kawczynski,Member of Parliament,060x66,false
MEL,Matthew Elliott,Chief Executive of the Vote Leave,0j7l7sv,false
EIZ,Eddie Izzard,Comedian,0126rp,false
ASO,Anna Soubry,Member of Parliament,02qrzk8,false
JCO,Jeremy Corbyn,Leader of Labour Party,025m87,false
TMA,Theresa May,Prime Minister,01zczs,false
JRA,Jim Ratcliffe,Financier,02qw1bw,false
PMO,Piers Morgan,Journalist,02pjzn,false
TNE,Thandie Newton,Actor,02cpb7,false
LCO,Lily Cole,Model,06l1yh,false
LME,Louise Mensch,Former MP,08w9gj,false
MPO,Michael Portillo,Journalist,01d0lr,false
BPA,Blaise Pascal,French mathematician,01b0x,true
DWA,David Walliams,Actor,02_j7t,false
DAL,Damon Albarn,Musician,,false
